City,Income,Pollution,Healthcare,Safety,Education,GreenSpace,Happiness
Delhi,6000,85,65,55,70,40,5.1
Mumbai,6500,80,68,60,72,35,5.4
Bangalore,7000,60,75,65,78,50,6.5
Chennai,6200,70,70,60,74,45,6.0
Hyderabad,6800,65,72,63,76,48,6.3
Pune,7200,55,78,68,80,55,6.8
Kolkata,5800,75,66,57,71,38,5.6
Ahmedabad,6400,68,69,62,73,42,6.0
Jaipur,5500,72,64,58,69,40,5.5
Lucknow,5200,78,60,54,67,35,5.2
Chandigarh,7500,40,82,75,85,65,7.5
Bhopal,5100,70,61,56,66,39,5.3
Indore,5600,65,67,60,70,45,5.8
Patna,4800,82,55,50,60,30,4.9
Surat,6700,62,71,64,75,50,6.4
Nagpur,5400,68,63,57,68,44,5.6
Coimbatore,6300,58,73,66,77,52,6.6
Kochi,6400,50,76,70,79,60,7.0
Visakhapatnam,6100,60,70,63,74,48,6.2
Thiruvananthapuram,6600,45,80,72,82,62,7.2
